image_id,top1,top5,top10,top50,top100,AUC
camera0_20_image000481,0.12714506107612325,0.09077638629327706,0.0632033620023345,0.06265995394388243,0.13725721932164722,0.08420189814182147
camera0_20_image000491,0.018192280915673383,0.22674195056412028,0.1909303195101149,0.13199948731103328,0.15551903469843442,0.1533394780283301
camera0_2_image000000,0.0,0.0,0.0,0.0024260450654735016,0.051382824727243634,0.014078208546741258
camera0_2_image000010,0.0,0.0,0.0,0.0024285897654912443,0.06390229726502102,0.01724084819265267
camera0_2_image000020,0.0,0.0,0.0,0.01322032867126184,0.0786055878046259,0.025859136215377825
camera0_2_image000030,0.0,0.0,0.0,0.030711408344093274,0.0766028096765422,0.03330387492320929
camera0_2_image000040,0.0,0.0,0.0,0.014906899370188706,0.0718298885093171,0.024914724084761558
camera0_2_image000050,0.0,0.0,0.0,0.00235460794107683,0.04836769861824212,0.01328434164448987
camera0_2_image000060,0.0,0.0,0.0,0.0024207691112158747,0.058490397958894755,0.015870652110879468
camera0_2_image000070,0.0,0.0,0.0,0.002328071594326151,0.046418207294570184,0.012779983879888067
camera0_2_image000080,0.0,0.0,0.0,0.0024044885492594537,0.04854610707608694,0.013352067289079148
camera0_2_image000090,0.0,0.0,0.0,0.002422402729814319,0.06025392031036868,0.016316728591927728
camera0_2_image000100,0.0,0.0,0.0,0.002395811341615183,0.04276951940638095,0.011889388843759547
camera0_2_image000110,0.0,0.0,0.0,0.0023145761954838236,0.035545998636908736,0.010028342370903843
camera0_2_image000120,0.0,0.0,0.0,0.0024482443047929205,0.05722471725038139,0.015563524494698997
camera0_2_image000130,0.0,0.0,0.0,0.0024420475676537406,0.06784462811898846,0.01824250346989002
camera0_2_image000140,0.0,0.0,0.0,0.0024272183305135545,0.050686971157534774,0.013903021250620864
camera0_2_image000150,0.0,0.0,0.0,0.007927555788287383,0.045209020850478975,0.015019853855907995
camera0_2_image000160,0.0,0.0,0.0,0.0022955798609520673,0.016751056557816953,0.005273510178669308
camera0_2_image000170,0.0,0.0,0.0,0.0023717618954950774,0.041657261655489886,0.011597584107924384
camera0_2_image000180,0.0,0.0,0.0,0.002287528594093612,0.01633054655126955,0.005163661116322688
camera0_2_image000190,0.0,0.0,0.0,0.008767233229573446,0.04453331929845247,0.015230893715071735
camera0_2_image000200,0.0,0.0,0.0,0.0023137256204747805,0.02735909409774,0.007960555609746033
camera0_2_image000210,0.0,0.0,0.0,0.002293631139655134,0.018074691898029894,0.00560687574480023
camera0_2_image000220,0.0,0.0,0.0,0.002258856738530556,0.01025351361839277,0.003616024178724148
camera0_2_image000230,0.0,0.0,0.0,0.0031951774351883016,0.027861749692995222,0.008488148756649955
camera0_2_image000240,0.0,0.0,0.0,0.002319262126110437,0.015816471563968725,0.005048268533072553
camera0_2_image000250,0.0,0.0,0.0,0.002313195408414471,0.0341814081927046,0.009683121193901582
camera0_2_image000260,0.0,0.0,0.0,0.00122376938844757,0.022278895476306754,0.00618224251906872
camera0_2_image000270,0.0,0.0,0.0,0.0022479687958885356,0.028261944996097108,0.00815865879512529
camera0_2_image000280,0.0,0.0,0.0,0.002218914264204763,0.02004537833944112,0.006070561619951881
camera0_2_image000290,0.0,0.0,0.0,0.0022401218187150214,0.02899420681314915,0.008340006587584811
camera0_2_image000300,0.0,0.0,0.0,0.0021505685125279323,0.02713447405250132,0.00782967105430588
camera0_2_image000310,0.0,0.0,0.0,0.0022934495474082137,0.039151027328086035,0.010929100129651611
camera0_2_image000320,0.0,0.0,0.0,0.002228615692698424,0.02723224289840554,0.007889836147793532
camera0_2_image000330,0.0,0.0,0.0,0.002202551033368362,0.03420982715496691,0.009640004801775147
camera0_2_image000340,0.0,0.0,0.0,0.0021911515664215903,0.030955248161608967,0.008812959843729162
camera0_2_image000350,0.0,0.0,0.0,0.0023471537565025883,0.022849328432821978,0.006836920503668274
camera0_2_image000360,0.0,0.0,0.0,0.0023424646309160566,0.030079648135804632,0.008660627391781108
camera0_2_image000370,0.0,0.0,0.0,0.0022911336734147392,0.021649098012512056,0.006508368339560183
camera0_2_image000380,0.0,0.0,0.0,0.00232310512985401,0.011081661787915253,0.0038543563185990705
camera0_2_image000390,0.0,0.0,0.0,0.00041874526977579143,0.003935265951267228,0.001184092787086769
camera0_2_image000400,0.0,0.0,0.0,0.0004212146760826037,0.0020132153510335257,0.0006998489313086324
camera0_2_image000410,0.0,0.0,0.0,0.00042288629246312807,0.0013561637174037398,0.0005346866272316538
camera0_2_image000420,0.0,0.0,0.0,0.0004378010405418466,0.006136909843356698,0.0017487251808919072
camera0_2_image000430,0.0,0.0,0.0,0.0003495160150006274,0.0011999530359300954,0.0004618893593260621
camera0_2_image000440,0.0,0.0,0.0,0.0004476607099775602,0.002031783941556083,0.0007165588938170866
camera0_2_image000450,0.0,0.0,0.0,0.000544404291437679,0.001813897388781645,0.0007055113922650098
camera0_2_image000460,0.0,0.0,0.0,0.0002674822439236397,0.0009195888209351283,0.0003538022373731479
camera0_2_image000470,0.0,0.0,0.0,0.0002846522135026467,0.0011827220082382874,0.00042805454357147335
camera0_3_image000000,0.0,0.002669589671432934,0.16457124134226547,0.2516822491828593,0.30193911134515955,0.22817217253110963
camera0_3_image000010,0.0,0.31598325592660026,0.2381783016060399,0.2821761391646134,0.3183937548737387,0.2771586522429939
camera0_3_image000020,0.0,0.07030739855689917,0.23558685399318285,0.28789061376972686,0.31931908972196704,0.2682337613236291
camera0_3_image000030,0.0,0.08740657739204467,0.23319959225741982,0.28824917085597734,0.31684991904067883,0.2680078897837559
camera0_3_image000040,0.0,0.05218171821923015,0.21029151688395675,0.26498398757737934,0.30917227849853823,0.24868649762950346
camera0_3_image000050,0.0,0.11052951661588241,0.20656440558855657,0.2622565524606483,0.3082535290253721,0.24901984885734565
camera0_3_image000060,0.0,0.12323491976515426,0.17910371898057334,0.24889923710653225,0.3083811573367331,0.23731702443654687
camera0_3_image000070,0.0,0.11102520917997812,0.1662073870858121,0.23812562818355154,0.3046497808907983,0.22799169132596184
camera0_3_image000080,0.0,0.056643756283928176,0.14509523595602059,0.21197373194018893,0.288800279241436,0.20483196596598321
camera0_3_image000090,0.0,0.11204798322030314,0.3587038258625092,0.24748417867377578,0.29684567202673773,0.27407052371096874
camera0_3_image000100,0.0,0.13702155260205146,0.18350083882938836,0.23429804563752782,0.29558784733015625,0.22907549593245352
camera0_3_image000110,0.0,0.15241919847233817,0.19867234113754118,0.21940390615503058,0.2800919515359753,0.22254028923329025
camera0_3_image000120,0.0,0.05223914381998699,0.1971361484941347,0.21490180229531985,0.28511802468349323,0.2168603152392372
